@relation pacman-weka.filters.unsupervised.attribute.Remove-R24-31

@attribute columna_pacman numeric
@attribute fila_pacman numeric
@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute columna_fantasma_1 numeric
@attribute fila_fantasma_1 numeric
@attribute columna_fantasma_2 numeric
@attribute fila_fantasma_2 numeric
@attribute columna_fantasma_3 numeric
@attribute fila_fantasma_3 numeric
@attribute columna_fantasma_4 numeric
@attribute fila_fantasma_4 numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute columna_fantasma_mas_cercano numeric
@attribute fila_fantasma_mas_cercano numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
6,9,4,3,1,1,11,3,17,6,25,13,-1,11,14,23,11,3,5,6,11,0,-1,180,North,East,179
6,8,4,3,1,1,11,3,17,6,25,13,-1,10,13,24,11,3,5,5,10,0,-1,179,East,South,178
6,7,4,3,1,1,11,3,17,6,25,13,-1,9,12,25,11,3,5,4,9,0,-1,178,South,South,177
6,6,4,3,1,1,11,3,17,6,25,13,-1,8,11,26,11,3,5,3,8,0,-1,177,South,South,176
7,6,4,3,1,1,11,3,17,6,25,13,-1,7,10,25,11,3,4,3,7,0,-1,176,South,East,175
8,6,4,3,1,1,11,3,17,6,25,13,-1,6,9,24,11,3,3,3,6,0,-1,175,East,East,174
9,6,4,3,1,1,11,3,17,6,25,13,-1,5,8,23,11,3,2,3,5,0,-1,174,East,East,173
10,6,4,3,1,1,11,3,17,6,25,13,-1,4,7,22,11,3,1,3,4,0,-1,173,East,East,172
11,6,4,3,1,1,11,3,17,6,25,13,-1,3,6,21,11,3,0,3,3,0,-1,172,East,East,171
11,5,4,3,1,1,11,3,17,6,25,13,-1,2,7,22,11,3,0,2,2,0,-1,171,East,South,170
11,4,4,3,1,1,11,3,17,6,25,13,-1,1,8,23,11,3,0,1,1,0,-1,170,South,South,369
11,3,4,2,1,1,3,1,17,6,25,13,-1,-1,9,24,17,6,6,3,9,0,-1,369,South,South,368
11,4,4,2,1,1,3,1,17,6,25,13,-1,-1,8,23,17,6,6,2,8,0,-1,368,South,North,367
11,5,4,2,1,1,3,1,17,6,25,13,-1,-1,7,22,17,6,6,1,7,0,-1,367,North,North,366
11,6,4,2,1,1,3,1,17,6,25,13,-1,-1,6,21,17,6,6,0,6,0,-1,366,North,North,365
11,7,4,2,1,1,3,1,17,6,25,13,-1,-1,7,20,17,6,6,1,7,0,-1,365,North,North,364
11,8,4,2,1,1,3,1,17,6,25,13,-1,-1,8,19,17,6,6,2,8,0,-1,364,North,North,363
11,9,4,2,1,1,3,1,17,6,25,13,-1,-1,9,18,17,6,6,3,9,0,-1,363,North,North,362
11,10,4,2,1,1,3,1,17,6,25,13,-1,-1,10,17,17,6,6,4,10,0,-1,362,North,North,361
11,11,4,2,1,1,3,1,17,6,25,13,-1,-1,11,16,17,6,6,5,11,0,-1,361,North,North,360
11,12,4,2,1,1,3,1,17,6,25,13,-1,-1,12,15,17,6,6,6,12,0,-1,360,North,North,359
12,12,4,2,1,1,3,1,17,6,25,13,-1,-1,11,14,17,6,5,6,11,0,-1,359,North,East,358
13,12,4,2,1,1,3,1,17,6,25,13,-1,-1,10,13,17,6,4,6,10,0,-1,358,East,East,357
14,12,4,2,1,1,3,1,17,6,25,13,-1,-1,9,12,17,6,3,6,9,0,-1,357,East,East,356
14,11,4,2,1,1,3,1,17,6,25,13,-1,-1,8,13,17,6,3,5,8,0,-1,356,East,South,355
14,10,4,2,1,1,3,1,17,6,25,13,-1,-1,7,14,17,6,3,4,7,0,-1,355,South,South,354
14,9,4,2,1,1,3,1,17,6,25,13,-1,-1,6,15,17,6,3,3,6,0,-1,354,South,South,353
14,8,4,2,1,1,3,1,17,6,25,13,-1,-1,5,16,17,6,3,2,5,0,-1,353,South,South,352
14,7,4,2,1,1,3,1,17,6,25,13,-1,-1,4,17,17,6,3,1,4,0,-1,352,South,South,351
14,6,4,2,1,1,3,1,17,6,25,13,-1,-1,3,18,17,6,3,0,3,0,-1,351,South,South,350
15,6,4,2,1,1,3,1,17,6,25,13,-1,-1,2,17,17,6,2,0,2,0,-1,350,South,East,349
16,6,4,2,1,1,3,1,17,6,25,13,-1,-1,1,16,17,6,1,0,1,0,-1,349,East,East,548
17,6,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,15,25,13,8,7,15,0,-1,548,East,East,547
16,6,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,16,25,13,9,7,16,0,-1,547,East,West,546
15,6,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,17,25,13,10,7,17,0,-1,546,West,West,545
14,6,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,18,25,13,11,7,18,0,-1,545,West,West,544
14,7,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,17,25,13,11,6,17,0,-1,544,West,North,543
14,8,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,16,25,13,11,5,16,0,-1,543,North,North,542
14,9,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,15,25,13,11,4,15,0,-1,542,North,North,541
14,10,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,14,25,13,11,3,14,0,-1,541,North,North,540
15,10,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,13,25,13,10,3,13,0,-1,540,North,East,539
16,10,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,12,25,13,9,3,12,0,-1,539,East,East,538
17,10,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,11,25,13,8,3,11,0,-1,538,East,East,537
18,10,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,10,25,13,7,3,10,0,-1,537,East,East,536
19,10,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,9,25,13,6,3,9,0,-1,536,East,East,535
20,10,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,8,25,13,5,3,8,0,-1,535,East,East,534
20,11,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,25,13,5,2,7,0,-1,534,East,North,533
20,12,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,25,13,5,1,6,0,-1,533,North,North,532
20,13,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,5,25,13,5,0,5,0,-1,532,North,North,531
20,14,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,25,13,5,1,6,0,-1,531,North,North,530
20,15,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,25,13,5,2,7,0,-1,530,North,North,529
21,15,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,25,13,4,2,6,0,-1,529,North,East,528
22,15,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,5,25,13,3,2,5,0,-1,528,East,East,527
23,15,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,4,25,13,2,2,4,0,-1,527,East,East,526
24,15,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,3,25,13,1,2,3,0,-1,526,East,East,525
25,15,4,1,1,1,3,1,5,1,25,13,-1,-1,-1,2,25,13,0,2,2,0,-1,525,East,East,524
8,3,4,4,8,9,9,9,10,9,11,9,6,7,8,9,8,9,0,6,6,113,1,99,Stop,West,198
7,3,4,4,8,9,9,9,10,9,11,9,7,8,9,10,8,9,1,6,7,112,1,198,West,West,297
6,3,4,4,8,9,9,9,10,9,11,9,8,9,10,11,8,9,2,6,8,111,1,297,West,West,396
6,4,4,4,8,9,9,9,10,9,11,9,7,8,9,10,8,9,2,5,7,110,1,396,West,North,495
6,5,4,4,8,9,9,9,10,9,11,9,6,7,8,9,8,9,2,4,6,109,1,495,North,North,594
6,6,4,4,8,9,9,9,10,9,11,9,5,6,7,8,8,9,2,3,5,108,1,594,North,North,693
6,7,4,4,8,9,9,9,10,9,11,9,4,5,6,7,8,9,2,2,4,107,1,693,North,North,792
6,8,4,4,8,9,9,9,10,9,11,9,3,4,5,6,8,9,2,1,3,106,1,792,North,North,891
6,9,4,4,8,9,9,9,10,9,11,9,2,3,4,5,8,9,2,0,2,105,1,891,North,North,890
7,9,4,4,8,9,9,9,10,9,11,9,1,2,3,4,8,9,1,0,1,105,2,890,North,East,1089
8,9,4,3,1,1,9,9,10,9,11,9,-1,1,2,3,9,9,1,0,1,105,3,1089,East,East,1288
9,9,4,2,1,1,3,1,10,9,11,9,-1,-1,1,2,10,9,1,0,1,105,2,1288,East,East,1487
19,17,4,4,1,8,2,6,18,4,28,6,27,28,14,20,18,4,1,13,14,336,1,99,Stop,West,198
19,16,4,4,1,8,2,6,18,4,28,6,26,27,13,19,18,4,1,12,13,335,1,198,West,South,297
18,16,4,4,1,8,2,6,18,4,28,6,25,26,12,20,18,4,0,12,12,334,1,297,South,West,396
17,16,4,4,1,8,2,6,18,4,28,6,24,25,13,21,18,4,1,12,13,333,1,396,West,West,495
17,15,4,4,1,8,2,6,18,4,28,6,23,24,12,20,18,4,1,11,12,332,1,495,West,South,594
17,14,4,4,1,8,2,6,18,4,28,6,22,23,11,19,18,4,1,10,11,331,1,594,South,South,693
17,13,4,4,1,8,2,6,18,4,28,6,21,22,10,18,18,4,1,9,10,330,1,693,South,South,792
17,12,4,4,1,8,2,6,18,4,28,6,20,21,9,17,18,4,1,8,9,329,1,792,South,South,891
17,11,4,4,1,8,2,6,18,4,28,6,19,20,8,16,18,4,1,7,8,328,1,891,South,South,990
17,10,4,4,1,8,2,6,18,4,28,6,18,19,7,15,18,4,1,6,7,327,1,990,South,South,1089
17,9,4,4,1,8,2,6,18,4,28,6,17,18,6,14,18,4,1,5,6,326,1,1089,South,South,1188
17,8,4,4,1,8,2,6,18,4,28,6,16,17,5,13,18,4,1,4,5,325,1,1188,South,South,1287
17,7,4,4,1,8,2,6,18,4,28,6,17,16,4,12,18,4,1,3,4,324,1,1287,South,South,1386
17,6,4,4,1,8,2,6,18,4,28,6,18,15,3,11,18,4,1,2,3,323,1,1386,South,South,1485
17,5,4,4,1,8,2,6,18,4,28,6,19,16,2,12,18,4,1,1,2,322,1,1485,South,South,1584
17,4,4,4,1,8,2,6,18,4,28,6,20,17,1,13,18,4,1,0,1,321,1,1584,South,South,1783
18,4,4,3,1,8,2,6,5,1,28,6,21,18,-1,12,28,6,10,2,12,321,1,1783,South,East,1882
18,3,4,3,1,8,2,6,5,1,28,6,22,19,-1,13,28,6,10,3,13,320,1,1882,East,South,1981
19,3,4,3,1,8,2,6,5,1,28,6,23,20,-1,12,28,6,9,3,12,319,1,1981,South,East,2080
20,3,4,3,1,8,2,6,5,1,28,6,24,21,-1,11,28,6,8,3,11,318,1,2080,East,East,2179
21,3,4,3,1,8,2,6,5,1,28,6,25,22,-1,10,28,6,7,3,10,317,1,2179,East,East,2278
22,3,4,3,1,8,2,6,5,1,28,6,26,23,-1,9,28,6,6,3,9,316,1,2278,East,East,2377
23,3,4,3,1,8,2,6,5,1,28,6,27,24,-1,8,28,6,5,3,8,315,1,2377,East,East,2476
24,3,4,3,1,8,2,6,5,1,28,6,28,25,-1,7,28,6,4,3,7,314,1,2476,East,East,2575
25,3,4,3,1,8,2,6,5,1,28,6,29,26,-1,6,28,6,3,3,6,313,1,2575,East,East,2674
26,3,4,3,1,8,2,6,5,1,28,6,30,27,-1,5,28,6,2,3,5,312,1,2674,East,East,2773
27,3,4,3,1,8,2,6,5,1,28,6,31,28,-1,4,28,6,1,3,4,311,1,2773,East,East,2872
28,3,4,3,1,8,2,6,5,1,28,6,32,29,-1,3,28,6,0,3,3,310,1,2872,East,East,2971
28,4,4,3,1,8,2,6,5,1,28,6,31,28,-1,2,28,6,0,2,2,309,1,2971,East,North,3070
28,5,4,3,1,8,2,6,5,1,28,6,30,27,-1,1,28,6,0,1,1,308,2,3070,North,North,3269
28,6,4,2,1,8,2,6,5,1,7,1,29,26,-1,-1,2,6,26,0,26,308,1,3269,North,North,3368
27,6,4,2,1,8,2,6,5,1,7,1,28,25,-1,-1,2,6,25,0,25,307,1,3368,North,West,3467
26,6,4,2,1,8,2,6,5,1,7,1,27,24,-1,-1,2,6,24,0,24,306,1,3467,West,West,3566
25,6,4,2,1,8,2,6,5,1,7,1,26,23,-1,-1,2,6,23,0,23,305,1,3566,West,West,3665
24,6,4,2,1,8,2,6,5,1,7,1,25,22,-1,-1,2,6,22,0,22,304,1,3665,West,West,3764
23,6,4,2,1,8,2,6,5,1,7,1,24,21,-1,-1,2,6,21,0,21,303,1,3764,West,West,3863
22,6,4,2,1,8,2,6,5,1,7,1,23,20,-1,-1,2,6,20,0,20,302,1,3863,West,West,3962
21,6,4,2,1,8,2,6,5,1,7,1,22,19,-1,-1,2,6,19,0,19,301,1,3962,West,West,4061
20,6,4,2,1,8,2,6,5,1,7,1,21,18,-1,-1,2,6,18,0,18,300,1,4061,West,West,4160
20,7,4,2,1,8,2,6,5,1,7,1,20,19,-1,-1,2,6,18,1,19,299,1,4160,West,North,4259
19,7,4,2,1,8,2,6,5,1,7,1,19,18,-1,-1,2,6,17,1,18,298,1,4259,North,West,4358
18,7,4,2,1,8,2,6,5,1,7,1,18,17,-1,-1,2,6,16,1,17,297,1,4358,West,West,4357
17,7,4,2,1,8,2,6,5,1,7,1,17,16,-1,-1,2,6,15,1,16,297,1,4357,West,West,4456
16,7,4,2,1,8,2,6,5,1,7,1,16,15,-1,-1,2,6,14,1,15,296,1,4456,West,West,4555
15,7,4,2,1,8,2,6,5,1,7,1,15,14,-1,-1,2,6,13,1,14,295,1,4555,West,West,4654
14,7,4,2,1,8,2,6,5,1,7,1,14,13,-1,-1,2,6,12,1,13,294,1,4654,West,West,4753
13,7,4,2,1,8,2,6,5,1,7,1,13,12,-1,-1,2,6,11,1,12,293,1,4753,West,West,4852
12,7,4,2,1,8,2,6,5,1,7,1,12,11,-1,-1,2,6,10,1,11,292,1,4852,West,West,4951
11,7,4,2,1,8,2,6,5,1,7,1,11,10,-1,-1,2,6,9,1,10,291,1,4951,West,West,5050
10,7,4,2,1,8,2,6,5,1,7,1,10,9,-1,-1,2,6,8,1,9,290,1,5050,West,West,5149
10,8,4,2,1,8,2,6,5,1,7,1,9,10,-1,-1,1,8,9,0,9,289,1,5149,West,North,5248
10,9,4,2,1,8,2,6,5,1,7,1,10,11,-1,-1,1,8,9,1,10,288,1,5248,North,North,5347
9,9,4,2,1,8,2,6,5,1,7,1,9,10,-1,-1,1,8,8,1,9,287,1,5347,North,West,5446
8,9,4,2,1,8,2,6,5,1,7,1,8,9,-1,-1,1,8,7,1,8,286,1,5446,West,West,5545
7,9,4,2,1,8,2,6,5,1,7,1,7,8,-1,-1,1,8,6,1,7,285,1,5545,West,West,5644
6,9,4,2,1,8,2,6,5,1,7,1,6,7,-1,-1,1,8,5,1,6,284,1,5644,West,West,5743
5,9,4,2,1,8,2,6,5,1,7,1,5,6,-1,-1,1,8,4,1,5,283,1,5743,West,West,5842
4,9,4,2,1,8,2,6,5,1,7,1,4,5,-1,-1,1,8,3,1,4,282,1,5842,West,West,5941
3,9,4,2,1,8,2,6,5,1,7,1,3,4,-1,-1,1,8,2,1,3,281,1,5941,West,West,6040
2,9,4,2,1,8,2,6,5,1,7,1,2,3,-1,-1,1,8,1,1,2,280,1,6040,West,West,6139
1,9,4,2,1,8,2,6,5,1,7,1,1,4,-1,-1,1,8,0,1,1,279,1,6139,West,West,6338
1,8,4,1,1,1,2,6,5,1,7,1,-1,3,-1,-1,2,6,1,2,3,279,1,6338,West,South,6437
2,8,4,1,1,1,2,6,5,1,7,1,-1,2,-1,-1,2,6,0,2,2,278,1,6437,South,East,6536
13,10,4,4,5,5,5,12,13,5,13,12,13,10,5,3,13,12,0,2,2,1,6,-1,Stop,East,-2
13,11,4,4,5,6,5,11,13,6,13,13,13,8,5,3,13,13,0,2,2,1,7,-2,East,North,-3
13,12,4,4,5,7,6,11,13,6,12,13,13,8,6,2,12,13,1,1,2,1,8,-3,North,North,-4
12,12,4,4,6,7,5,11,13,5,12,13,11,8,8,2,12,13,0,1,1,1,9,-4,North,West,-5
12,13,4,4,6,8,6,11,14,5,11,13,11,8,10,1,11,13,1,0,1,1,10,-5,West,North,194
11,13,4,3,6,7,6,11,14,6,7,1,11,7,10,-1,6,11,5,2,7,1,11,194,North,West,193
10,13,4,3,7,7,6,12,13,6,7,1,9,5,10,-1,6,12,4,1,5,1,12,193,West,West,192
9,13,4,3,7,6,7,12,12,6,7,1,9,3,10,-1,7,12,2,1,3,1,13,192,West,West,191
8,13,4,3,7,5,7,12,12,7,7,1,9,2,10,-1,7,12,1,1,2,1,14,191,West,West,390
7,13,4,2,6,5,3,1,12,7,7,1,9,-1,11,-1,6,5,1,8,9,1,15,390,West,West,389
6,13,4,2,5,5,3,1,12,8,7,1,9,-1,11,-1,5,5,1,8,9,1,16,389,West,West,388
6,12,4,2,5,5,3,1,12,9,7,1,8,-1,9,-1,5,5,1,7,8,1,15,388,West,South,387
6,11,4,2,4,5,3,1,13,9,7,1,8,-1,9,-1,4,5,2,6,8,1,14,387,South,South,386
6,10,4,2,4,6,3,1,14,9,7,1,6,-1,9,-1,4,6,2,4,6,1,13,386,South,South,385
6,9,4,2,4,6,3,1,14,10,7,1,5,-1,9,-1,4,6,2,3,5,1,12,385,South,South,384
5,9,4,2,4,6,3,1,13,10,7,1,4,-1,9,-1,4,6,1,3,4,1,13,384,South,West,383
4,9,4,2,4,7,3,1,12,10,7,1,2,-1,9,-1,4,7,0,2,2,1,14,383,West,West,382
4,8,4,2,4,7,3,1,11,10,7,1,1,-1,9,-1,4,7,0,1,1,1,15,382,West,South,581
4,7,4,1,1,1,3,1,11,9,7,1,-1,-1,9,-1,11,9,7,2,9,1,16,581,South,South,580
5,7,4,1,1,1,3,1,11,10,7,1,-1,-1,9,-1,11,10,6,3,9,1,15,580,South,East,579
6,7,4,1,1,1,3,1,10,10,7,1,-1,-1,7,-1,10,10,4,3,7,1,14,579,East,East,578
7,7,4,1,1,1,3,1,10,9,7,1,-1,-1,5,-1,10,9,3,2,5,1,13,578,East,East,577
8,7,4,1,1,1,3,1,11,9,7,1,-1,-1,5,-1,11,9,3,2,5,1,12,577,East,East,576
9,7,4,1,1,1,3,1,11,9,7,1,-1,-1,4,-1,11,9,2,2,4,1,11,576,East,East,575
10,7,4,1,1,1,3,1,11,8,7,1,-1,-1,2,-1,11,8,1,1,2,1,10,575,East,East,574
2,6,4,4,5,4,8,6,10,3,16,6,5,6,11,15,5,4,3,2,5,0,-1,-1,Stop,East,-2
3,6,4,4,6,4,8,6,10,3,16,5,5,5,10,13,6,4,3,2,5,0,-1,-2,East,East,-3
4,6,4,4,6,3,7,6,10,3,16,6,5,3,9,12,7,6,3,0,3,0,-1,-3,East,East,-4
5,6,4,4,6,3,6,6,9,3,16,6,4,1,7,12,6,6,1,0,1,0,-1,-4,East,East,195
6,6,4,3,6,3,3,1,9,4,16,5,3,-1,5,10,6,3,0,3,3,0,-1,195,East,East,194
7,6,4,3,7,3,3,1,8,4,16,6,3,-1,3,8,7,3,0,3,3,0,-1,194,East,East,193
7,5,4,3,7,3,3,1,8,4,15,6,2,-1,2,9,7,3,0,2,2,0,-1,193,East,South,192
7,4,4,3,8,3,3,1,9,4,15,6,2,-1,2,9,8,3,1,1,2,0,-1,192,South,South,391
8,4,4,2,9,3,3,1,5,1,14,6,2,-1,-1,7,9,3,1,1,2,0,-1,391,South,East,390
9,4,4,2,8,3,3,1,5,1,14,5,2,-1,-1,5,8,3,1,1,2,0,-1,390,East,East,389
8,4,4,2,9,3,3,1,5,1,14,4,2,-1,-1,6,9,3,1,1,2,0,-1,389,East,West,588
9,4,4,1,1,1,3,1,5,1,14,4,-1,-1,-1,6,14,4,5,0,5,0,-1,588,West,East,587
10,4,4,1,1,1,3,1,5,1,14,3,-1,-1,-1,6,14,3,4,1,5,0,-1,587,East,East,586
11,4,4,1,1,1,3,1,5,1,15,3,-1,-1,-1,5,15,3,4,1,5,0,-1,586,East,East,585
12,4,4,1,1,1,3,1,5,1,15,3,-1,-1,-1,4,15,3,3,1,4,0,-1,585,East,East,584
13,4,4,1,1,1,3,1,5,1,15,3,-1,-1,-1,4,15,3,2,1,3,0,-1,584,East,East,583
14,4,4,1,1,1,3,1,5,1,16,3,-1,-1,-1,2,16,3,2,1,3,0,-1,583,East,East,582
15,4,4,1,1,1,3,1,5,1,16,4,-1,-1,-1,2,16,4,1,0,1,0,-1,582,East,East,581
1,17,4,4,5,8,11,4,16,6,25,13,13,23,26,27,5,8,4,9,13,0,-1,-1,Stop,South,-2
1,16,4,4,5,9,11,5,16,6,25,14,11,21,25,25,5,9,4,7,11,0,-1,-2,South,South,-3
1,15,4,4,6,9,11,4,17,6,25,15,11,21,25,23,6,9,5,6,11,0,-1,-3,South,South,-4
1,14,4,4,6,9,11,5,17,5,24,15,10,19,25,25,6,9,5,5,10,0,-1,-4,South,South,-5
1,13,4,4,6,9,11,4,17,5,25,15,9,19,24,25,6,9,5,4,9,0,-1,-5,South,South,-6
1,12,4,4,6,9,11,5,17,5,25,14,8,17,23,25,6,9,5,3,8,0,-1,-6,South,South,-7
1,11,4,4,5,9,10,5,17,5,24,14,6,15,22,27,5,9,4,2,6,0,-1,-7,South,South,-8
1,10,4,4,6,9,9,5,17,4,25,14,6,13,22,28,6,9,5,1,6,0,-1,-8,South,South,-9
1,9,4,4,6,9,8,5,17,3,25,14,5,11,22,28,6,9,5,0,5,0,-1,-9,South,South,-10
1,8,4,4,6,9,8,6,17,3,25,13,6,9,21,29,6,9,5,1,6,0,-1,-10,South,South,-11
1,7,4,4,6,10,8,7,17,4,25,13,8,7,19,30,8,7,7,0,7,0,-1,-11,South,South,-12
1,6,4,4,6,9,8,6,17,3,25,13,8,7,19,31,8,6,7,0,7,0,-1,-12,South,South,-13
2,6,4,4,5,9,7,6,16,3,25,13,6,5,17,30,7,6,5,0,5,0,-1,-13,South,East,-14
3,6,4,4,5,8,7,6,16,3,25,13,4,4,16,29,5,8,2,2,4,0,-1,-14,East,East,-15
4,6,4,4,4,8,7,6,16,4,25,13,2,3,14,29,4,8,0,2,2,0,-1,-15,East,East,184
4,7,4,3,1,1,6,6,16,4,25,14,-1,3,15,28,6,6,2,1,3,0,-1,184,East,North,183
5,7,4,3,1,1,5,6,17,4,25,14,-1,1,15,26,5,6,0,1,1,0,-1,183,North,East,382
5,6,4,2,1,1,3,1,18,4,24,14,-1,-1,15,27,18,4,13,2,15,0,-1,382,East,South,381
6,6,4,2,1,1,3,1,19,4,24,14,-1,-1,15,25,19,4,13,2,15,0,-1,381,South,East,380
7,6,4,2,1,1,3,1,19,5,23,14,-1,-1,13,25,19,5,12,1,13,0,-1,380,East,East,379
8,6,4,2,1,1,3,1,19,4,23,15,-1,-1,13,23,19,4,11,2,13,0,-1,379,East,East,378
9,6,4,2,1,1,3,1,19,5,22,15,-1,-1,11,21,19,5,10,1,11,0,-1,378,East,East,377
10,6,4,2,1,1,3,1,19,5,22,14,-1,-1,10,20,19,5,9,1,10,0,-1,377,East,East,376
11,6,4,2,1,1,3,1,19,6,22,14,-1,-1,8,19,19,6,8,0,8,0,-1,376,East,East,375
11,7,4,2,1,1,3,1,18,6,22,14,-1,-1,8,19,18,6,7,1,8,0,-1,375,East,North,374
11,8,4,2,1,1,3,1,19,6,23,14,-1,-1,10,19,19,6,8,2,10,0,-1,374,North,North,373
11,9,4,2,1,1,3,1,18,6,23,15,-1,-1,10,18,18,6,7,3,10,0,-1,373,North,North,372
11,10,4,2,1,1,3,1,18,6,23,15,-1,-1,11,16,18,6,7,4,11,0,-1,372,North,North,371
11,11,4,2,1,1,3,1,18,6,22,15,-1,-1,12,14,18,6,7,5,12,0,-1,371,North,North,370
11,12,4,2,1,1,3,1,18,5,22,14,-1,-1,14,14,18,5,7,7,14,0,-1,370,North,North,369
12,12,4,2,1,1,3,1,18,5,23,14,-1,-1,13,14,18,5,6,7,13,0,-1,369,North,East,368
13,12,4,2,1,1,3,1,19,5,23,15,-1,-1,13,14,19,5,6,7,13,0,-1,368,East,East,367
14,12,4,2,1,1,3,1,18,5,24,15,-1,-1,11,13,18,5,4,7,11,0,-1,367,East,East,366
14,11,4,2,1,1,3,1,18,6,24,15,-1,-1,9,13,18,6,4,5,9,0,-1,366,East,South,365
14,10,4,2,1,1,3,1,18,5,23,15,-1,-1,9,13,18,5,4,5,9,0,-1,365,South,South,364
14,9,4,2,1,1,3,1,19,5,22,15,-1,-1,9,14,19,5,5,4,9,0,-1,364,South,South,363
14,8,4,2,1,1,3,1,19,6,22,15,-1,-1,7,14,19,6,5,2,7,0,-1,363,South,South,362
14,7,4,2,1,1,3,1,19,6,21,15,-1,-1,6,15,19,6,5,1,6,0,-1,362,South,South,361
14,6,4,2,1,1,3,1,20,6,21,15,-1,-1,6,15,20,6,6,0,6,0,-1,361,South,South,360
15,6,4,2,1,1,3,1,20,5,20,15,-1,-1,6,14,20,5,5,1,6,0,-1,360,South,East,359
16,6,4,2,1,1,3,1,20,6,20,15,-1,-1,4,12,20,6,4,0,4,0,-1,359,East,East,358
17,6,4,2,1,1,3,1,21,6,20,14,-1,-1,4,11,21,6,4,0,4,0,-1,358,East,East,357
18,6,4,2,1,1,3,1,20,6,20,14,-1,-1,2,9,20,6,2,0,2,0,-1,357,East,East,356
19,6,4,2,1,1,3,1,21,6,19,14,-1,-1,2,9,21,6,2,0,2,0,-1,356,East,East,355
20,6,4,2,1,1,3,1,21,6,18,14,-1,-1,1,11,21,6,1,0,1,0,-1,355,East,East,554
21,6,4,1,1,1,3,1,5,1,17,14,-1,-1,-1,13,17,14,4,8,12,0,-1,554,East,East,553
22,6,4,1,1,1,3,1,5,1,17,15,-1,-1,-1,13,17,15,5,9,14,0,-1,553,East,East,552
23,6,4,1,1,1,3,1,5,1,17,14,-1,-1,-1,13,17,14,6,8,14,0,-1,552,East,East,551
23,7,4,1,1,1,3,1,5,1,17,13,-1,-1,-1,13,17,13,6,6,12,0,-1,551,East,North,550
23,8,4,1,1,1,3,1,5,1,17,14,-1,-1,-1,13,17,14,6,6,12,0,-1,550,North,North,549
23,9,4,1,1,1,3,1,5,1,17,15,-1,-1,-1,13,17,15,6,6,12,0,-1,549,North,North,548
23,10,4,1,1,1,3,1,5,1,16,15,-1,-1,-1,13,16,15,7,5,12,0,-1,548,North,North,547
22,10,4,1,1,1,3,1,5,1,15,15,-1,-1,-1,12,15,15,7,5,12,0,-1,547,North,West,546
21,10,4,1,1,1,3,1,5,1,15,15,-1,-1,-1,11,15,15,6,5,11,0,-1,546,West,West,545
20,10,4,1,1,1,3,1,5,1,15,15,-1,-1,-1,9,15,15,5,5,10,0,-1,545,West,West,544
19,10,4,1,1,1,3,1,5,1,15,14,-1,-1,-1,9,15,14,4,4,8,0,-1,544,West,West,543
18,10,4,1,1,1,3,1,5,1,15,15,-1,-1,-1,8,15,15,3,5,8,0,-1,543,West,West,542
17,10,4,1,1,1,3,1,5,1,15,15,-1,-1,-1,8,15,15,2,5,7,0,-1,542,West,West,541
17,11,4,1,1,1,3,1,5,1,15,16,-1,-1,-1,6,15,16,2,5,7,0,-1,541,West,North,540
17,12,4,1,1,1,3,1,5,1,15,15,-1,-1,-1,4,15,15,2,3,5,0,-1,540,North,North,539
17,13,4,1,1,1,3,1,5,1,15,14,-1,-1,-1,3,15,14,2,1,3,0,-1,539,North,North,538
17,14,4,1,1,1,3,1,5,1,15,14,-1,-1,-1,3,15,14,2,0,2,0,-1,538,North,North,537
16,14,4,1,1,1,3,1,5,1,15,15,-1,-1,-1,3,15,15,1,1,2,0,-1,537,North,West,536
